model_key,model_label,eval,metric,value,status,source
base,Qwen2.5-VL-32B Base,coco,accuracy,0.957,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,coco,false_positive_rate,0.014,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,coco,false_negative_rate,0.072,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,accuracy,0.766,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,false_positive_rate,0.154,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,false_negative_rate,0.314,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,gqa,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,accuracy,0.931,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,false_positive_rate,0.044,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,false_negative_rate,0.094,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,hard_coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,accuracy,0.225806,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,false_positive_rate,0.764228,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,false_negative_rate,0.777228,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,bem,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_supported,support_accuracy,0.918333,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_supported,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_supported,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_supported,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,wrong_evidence_rejection,0.245,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,object_wrong_rejection,0.396825,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,attribute_wrong_rejection,0.221476,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,relation_wrong_rejection,0.12,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,json_object_rate,0.9975,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,scored_output_rate,0.9975,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,cepo_wrong,parse_failure_rate,0.0025,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,overall_rejection,0.316667,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,subject_object_swap_rejection,0.075,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,left_right_reversal_rejection,0.558333,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,false_accept_rate,0.683333,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
base,Qwen2.5-VL-32B Base,relation_stress,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/base.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,accuracy,0.959,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,false_positive_rate,0.016,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,false_negative_rate,0.066,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,accuracy,0.767,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,false_positive_rate,0.184,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,false_negative_rate,0.282,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,gqa,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,accuracy,0.938,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,false_positive_rate,0.046,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,false_negative_rate,0.078,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,hard_coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,accuracy,0.242884,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,false_positive_rate,0.796748,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,false_negative_rate,0.74505,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,bem,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,support_accuracy,0.935,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,wrong_evidence_rejection,0.2375,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,object_wrong_rejection,0.412698,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,attribute_wrong_rejection,0.214765,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,relation_wrong_rejection,0.088,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,overall_rejection,0.270833,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,subject_object_swap_rejection,0.05,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
